"Precio","Opiniones","Peso del Producto","Volumen","Potencia","Alto","Ancho","Profundidad"
165.29,694,4.8,0.4,1600,28,25,116.8
116.308613861386,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
31.13,11,4.15674418604651,0.5,120,52.5416666666667,23.1166666666667,53.8416666666667
15.84,2,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
227.96,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
116.308613861386,5,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
39.09,1,1.15,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
13.49,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
17.52,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
119.99,7,1.8,0.8,130,110,23,20
59.9,908,1.8,0.8,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
116.308613861386,190.775862068966,2,15,1000,52.5416666666667,23.1166666666667,53.8416666666667
55,1,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
116.308613861386,190.775862068966,4.15674418604651,0.5,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
109.95,1,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
160.99,190.775862068966,4.15674418604651,1.16595744680851,140,52.5416666666667,23.1166666666667,53.8416666666667
24.93,190.775862068966,4.15674418604651,0.5,75,52.5416666666667,23.1166666666667,53.8416666666667
55.99,42,4.6,3,900,52.5416666666667,23.1166666666667,53.8416666666667
53.99,1,4,2,1000,52.5416666666667,23.1166666666667,53.8416666666667
604.17,201,10,0.8,2200,45,26,51
165.29,694,4.8,0.4,1600,28,25,116.8
116.308613861386,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
425,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
18.97,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
78.64,190.775862068966,3.5,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
77.52,190.775862068966,3,1,400,52.5416666666667,23.1166666666667,53.8416666666667
31.13,11,4.15674418604651,0.5,120,52.5416666666667,23.1166666666667,53.8416666666667
283.94,1,8,1.16595744680851,1400,34,34.8,108.4
13.49,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
119.99,7,1.8,0.8,130,110,23,20
59.9,908,1.8,0.8,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
160.99,190.775862068966,4.15674418604651,1.16595744680851,140,52.5416666666667,23.1166666666667,53.8416666666667
19.19,5,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
17.52,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
8.02,190.775862068966,4.15674418604651,1.16595744680851,60,32,10,8
51.92,190.775862068966,4.15674418604651,1.16595744680851,60,52.5416666666667,23.1166666666667,53.8416666666667
53.99,1,4,2,1000,52.5416666666667,23.1166666666667,53.8416666666667
162.99,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
11.48,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
604.17,201,10,0.8,2200,45,26,51
165.29,694,4.8,0.4,1600,28,25,116.8
11.48,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
78.66,1,2,0.4,350,52.5416666666667,23.1166666666667,53.8416666666667
228.99,190.775862068966,4.15674418604651,0.6,160,52.5416666666667,23.1166666666667,53.8416666666667
36.46,190.775862068966,4.15674418604651,1.16595744680851,120,52.5416666666667,23.1166666666667,53.8416666666667
116.308613861386,190.775862068966,4.15674418604651,0.5,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
24.93,190.775862068966,4.15674418604651,0.5,75,52.5416666666667,23.1166666666667,53.8416666666667
39.09,1,1.15,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
539,8,4.8,1.16595744680851,350,52.5416666666667,23.1166666666667,53.8416666666667
119.99,7,1.8,0.8,130,110,23,20
59.9,908,1.8,0.8,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
31.99,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
39.99,190.775862068966,4.15674418604651,1.16595744680851,45,20,8,7
27.38,190.775862068966,4.15674418604651,1.16595744680851,772.211538461538,52.5416666666667,23.1166666666667,53.8416666666667
